Column Name,AppSheet Type,Base Type,Required,Description
-------------,---------------,-----------,----------,-------------
`sender_email`,Email,Email,Yes,Sender email address (primary key)
`approved_count`,Number,Integer,Yes,Count of approved proposals
`rejected_count`,Number,Integer,Yes,Count of rejected proposals
`reputation_score`,Decimal,Number,Yes,Computed reputation (0.0-1.0)
`total_interactions`,Number,Integer,Yes,Total proposals from sender
`first_seen`,DateTime,DateTime,Yes,First interaction timestamp
`last_updated`,DateTime,DateTime,Yes,Last update timestamp
`status`,Enum,Text,Yes,Sender status
`block_reason`,LongText,Text,No,Why sender was blocked
`blocked_at`,DateTime,DateTime,No,When sender was blocked
`trustScore`,Decimal,Number,No,Manual trust override
